exchange;first_currency;second_currency;exchange_pair_id;time;open;high;low;close;volume;market_cap
BEQUANT;BTC;USDB;2;2023-02-13 00:00:00+00:00;21833.56;25004.93;21612.58;24412.45;3.5672;
BEQUANT;BTC;USDB;2;2023-02-06 00:00:00+00:00;22676.33;23407.02;21537.76;21805.74;1.81875;
BEQUANT;BTC;USDB;2;2023-01-30 00:00:00+00:00;22714.56;24251.23;22714.56;23164.83;5.21955;
BEQUANT;BTC;USDB;2;2023-01-23 00:00:00+00:00;22788.47;23762.77;22556.27;23603.56;1.77538;
BEQUANT;BTC;USDB;2;2023-01-16 00:00:00+00:00;21091.64;23325.51;20444.48;22411.05;2.78924;
BEQUANT;BTC;USDB;2;2023-01-09 00:00:00+00:00;17217.76;21246.98;17217.76;20797.33;28.14171;
BEQUANT;BTC;USDB;2;2023-01-02 00:00:00+00:00;16733.38;17032.46;16733.38;17032.46;0.24608;
BEQUANT;BTC;USDB;2;2022-12-26 00:00:00+00:00;16858.16;16858.16;16474.14;16603.87;3.00757;
BEQUANT;BTC;USDB;2;2022-12-19 00:00:00+00:00;16614.94;17054.81;16297.12;16858.48;3.51516;
BEQUANT;BTC;USDB;2;2022-12-12 00:00:00+00:00;17004.56;18354.29;16686.17;16853.47;10.55016;
BEQUANT;BTC;USDB;2;2022-12-05 00:00:00+00:00;17182.24;17182.24;16766.44;17161.4;18.5552;
BEQUANT;BTC;USDB;2;2022-11-28 00:00:00+00:00;16155.91;17259.55;16128.28;16919.45;33.31117;
BEQUANT;BTC;USDB;2;2022-11-21 00:00:00+00:00;16111.98;16726.71;15487.04;16455.82;76.86869;
BEQUANT;BTC;USDB;2;2022-11-14 00:00:00+00:00;16489.39;17085.15;16367.65;16555.11;39.70912;
BEQUANT;BTC;USDB;2;2022-11-07 00:00:00+00:00;20592.33;20865.24;15612.82;16574.13;382.4276;
BEQUANT;BTC;USDB;2;2022-10-31 00:00:00+00:00;20533.31;21434.85;20044.46;20990.6;35.0562;
BEQUANT;BTC;USDB;2;2022-10-24 00:00:00+00:00;19600.11;20975.32;19222.62;20532.81;7.74848;
BEQUANT;BTC;USDB;2;2022-10-17 00:00:00+00:00;19344.35;19685.16;18712.22;19685.16;30.82384;
BEQUANT;BTC;USDB;2;2022-10-10 00:00:00+00:00;19235.21;19872.45;18194.01;19210.23;37.8177;
BEQUANT;BTC;USDB;2;2022-10-03 00:00:00+00:00;19037.83;20449.54;19009.67;19474.95;78.1216;
BEQUANT;BTC;USDB;2;2022-09-26 00:00:00+00:00;18765.74;20316.14;18555.95;19054.15;58.79462;
BEQUANT;BTC;USDB;2;2022-09-19 00:00:00+00:00;19478.3;19869.48;18177.91;18721.88;70.10776;
BEQUANT;BTC;USDB;2;2022-09-12 00:00:00+00:00;21653.14;22761.7;19328.75;19468.57;38.48545;
BEQUANT;BTC;USDB;2;2022-09-05 00:00:00+00:00;19979.0;21766.93;18537.84;21542.07;58.75165;
BEQUANT;BTC;USDB;2;2022-08-29 00:00:00+00:00;19577.74;20417.24;19577.74;19861.25;31.52005;
BEQUANT;BTC;USDB;2;2022-08-22 00:00:00+00:00;21263.53;21891.61;19543.76;19543.76;48.43703;
BEQUANT;BTC;USDB;2;2022-08-15 00:00:00+00:00;24443.65;24956.44;20785.46;21707.1;21.28942;
BEQUANT;BTC;USDB;2;2022-08-08 00:00:00+00:00;23307.54;24927.19;22681.94;24302.68;21.86521;
BEQUANT;BTC;USDB;2;2022-08-01 00:00:00+00:00;23354.38;23591.84;22517.25;23361.74;104.15272;
BEQUANT;BTC;USDB;2;2022-07-25 00:00:00+00:00;22591.56;24625.22;20751.42;23697.6;23.40776;
BEQUANT;BTC;USDB;2;2022-07-18 00:00:00+00:00;21022.09;24234.83;21022.08;22615.87;228.18311;
BEQUANT;BTC;USDB;2;2022-07-11 00:00:00+00:00;20491.29;21629.06;18922.75;20825.43;97.4275;
BEQUANT;BTC;USDB;2;2022-07-04 00:00:00+00:00;19276.26;22441.31;19058.56;20847.54;101.19299;
BEQUANT;BTC;USDB;2;2022-06-27 00:00:00+00:00;21006.29;21980.48;18078.39;19221.96;133.92056;
BEQUANT;BTC;USDB;2;2022-06-20 00:00:00+00:00;20546.76;21860.99;19625.18;21163.17;477.92544;
BEQUANT;BTC;USDB;2;2022-06-13 00:00:00+00:00;26552.53;26835.62;17616.13;20570.33;576.27153;
BEQUANT;BTC;USDB;2;2022-06-06 00:00:00+00:00;29873.82;31716.27;26547.66;26547.66;160.47834;
BEQUANT;BTC;USDB;2;2022-05-30 00:00:00+00:00;29605.82;32386.51;29271.96;29898.69;130.5635;
BEQUANT;BTC;USDB;2;2022-05-23 00:00:00+00:00;30229.92;30619.62;28150.31;29426.2;150.35345;
BEQUANT;BTC;USDB;2;2022-05-16 00:00:00+00:00;31280.74;31280.85;28223.18;30260.89;138.55531;
BEQUANT;BTC;USDB;2;2022-05-09 00:00:00+00:00;33957.3;33957.3;26613.81;31298.0;691.32029;
BEQUANT;BTC;USDB;2;2022-05-02 00:00:00+00:00;38466.7;39932.12;33762.41;34012.29;115.56912;
BEQUANT;BTC;USDB;2;2022-04-25 00:00:00+00:00;39366.68;40735.77;37485.05;38412.36;97.67677;
BEQUANT;BTC;USDB;2;2022-04-18 00:00:00+00:00;39671.64;42944.74;38667.54;39467.81;88.99148;
BEQUANT;BTC;USDB;2;2022-04-11 00:00:00+00:00;42112.34;42409.27;39269.81;39687.49;228.45182;
BEQUANT;BTC;USDB;2;2022-04-04 00:00:00+00:00;46281.55;47161.38;41913.42;42100.37;275.48402;
BEQUANT;BTC;USDB;2;2022-03-28 00:00:00+00:00;46829.09;48180.0;44235.3;46423.11;225.34543;
BEQUANT;BTC;USDB;2;2022-03-21 00:00:00+00:00;41287.43;46887.13;40518.46;46872.16;204.65089;
BEQUANT;BTC;USDB;2;2022-03-14 00:00:00+00:00;37588.91;42400.27;37588.91;41257.23;200.58597;
BEQUANT;BTC;USDB;2;2022-03-07 00:00:00+00:00;38292.17;42582.46;37239.07;37770.53;219.88277;
BEQUANT;BTC;USDB;2;2022-02-28 00:00:00+00:00;37460.78;45188.7;37460.78;38377.95;377.4544;
BEQUANT;BTC;USDB;2;2022-02-21 00:00:00+00:00;38316.18;40262.22;34373.28;37682.62;648.08665;
BEQUANT;BTC;USDB;2;2022-02-14 00:00:00+00:00;42045.26;70633.35;38003.79;38365.67;275.68111;
BEQUANT;BTC;USDB;2;2022-02-07 00:00:00+00:00;42456.11;45829.82;41725.72;42225.29;507.0887;
BEQUANT;BTC;USDB;2;2022-01-31 00:00:00+00:00;37945.71;42703.93;36278.71;42436.07;349.88099;
BEQUANT;BTC;USDB;2;2022-01-24 00:00:00+00:00;36186.47;38865.13;32953.19;37948.28;547.54247;
BEQUANT;BTC;USDB;2;2022-01-17 00:00:00+00:00;43136.85;43495.15;34163.34;36288.71;873.41859;
BEQUANT;BTC;USDB;2;2022-01-10 00:00:00+00:00;41847.36;44359.89;39675.04;43125.03;415.86986;
BEQUANT;BTC;USDB;2;2022-01-03 00:00:00+00:00;47078.09;47556.52;40534.63;41843.3;221.78;
BEQUANT;BTC;USDB;2;2021-12-27 00:00:00+00:00;50837.93;52073.49;45694.35;47392.82;145.51768;
BEQUANT;BTC;USDB;2;2021-12-20 00:00:00+00:00;46640.81;51834.57;45632.06;50780.06;159.06369;
BEQUANT;BTC;USDB;2;2021-12-13 00:00:00+00:00;49951.19;50236.21;45517.88;46694.91;753.79453;
BEQUANT;BTC;USDB;2;2021-12-06 00:00:00+00:00;49474.62;71991.23;46822.84;50118.17;913.42252;
